unique_elements,count
CYCLOPENTASILOXANE,23
SODIUM ACETYLATED HYALURONATE,23
CAPRYLOYL SALICYLIC ACID,23
OCTADECYL DI-T-BUTYL-4-HYDROXYHYDROCINNAMATE,23
MICROCRYSTALLINE CELLULOSE,23
BENZYL BENZOATE,22
PALMITOYL TRIPEPTIDE-1,22
WATER / WATER,21
PULLULAN,21
HYDROXYPROPYL STARCH PHOSPHATE,21
CALCIUM PANTOTHENATE,21
COLLOIDAL GOLD,21
TRISODIUM ETHYLENEDIAMINE DISUCCINATE,21
XYLITOL,21
GOLD,21
POLYGLYCERYL-6 BEHENATE,21
ETHYLHEXYL PALMITATE,20
POLYACRYLATE CROSSPOLYMER-6,20
GLYCINE,20
CAMELLIA SINENSIS LEAF EXTRACT,20
BIOSACCHARIDE GUM-1,20
TRIETHYLHEXANOIN,20
POLYGLYCERYL-6 STEARATE,20
PHENETHYL ALCOHOL,20
DECYL OLEATE,19
SNAIL SECRETION FILTRATE,19
ACETYL HEPTAPEPTIDE-9,19
HYDROLYZED SOY PROTEIN,19
PHOSPHOLIPIDS,19
BHT,19
DIBUTYL ADIPATE,19
TIN OXIDE,19
LINOLEIC ACID,19
HYDROLYZED HYALURONIC ACID,19
SERINE,19
HYDROGENATED PALM OIL,18
C10-18 TRIGLYCERIDES,18
(F,18
CREATINE,18
LACTOBACILLUS FERMENT,18
CALENDULA OFFICINALIS FLOWER EXTRACT,18
GLYCERYL BEHENATE,18
ARGININE,18
SODIUM ASCORBYL PHOSPHATE,18
OLEA EUROPAEA (OLIVE) FRUIT OIL,17
PALMITOYL TRIPEPTIDE-5,17
XYLITYLGLUCOSIDE,17
CHLORPHENESIN,17
ISOPROPYL ISOSTEARATE,17
BORAGO OFFICINALIS SEED OIL,17
JOJOBA ESTERS,17
RETINOL,17
ORYZA SATIVA (RICE) BRAN OIL,17
ANHYDROXYLITOL,17
HYDROLYZED SODIUM HYALURONATE,17
SORBITOL,17
FRUCTOSE,17
PALMITOYL TRIPEPTIDE-38,17
ETHYLHEXYL METHOXYCINNAMATE,16
COCOGLYCERIDES,16
COCOS NUCIFERA OIL,16
CI 77491,16
CAPRYLYL METHICONE,16
AMMONIUM POLYACRYLOYLDIMETHYL TAURATE,16
DIETHYLHEXYL SYRINGYLIDENEMALONATE,16
ZEA MAYS STARCH,16
SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL,16
CARNOSINE,16
O-CYMEN-5-OL,16
ISODECYL NEOPENTANOATE,16
DIMETHICONE CROSSPOLYMER,16
BIOTIN,16
VITIS VINIFERA (GRAPE) SEED OIL,16
ZINC PCA,15
COLLAGEN AMINO ACIDS,15
TITANIUM DIOXIDE,15
KAPPAPHYCUS ALVAREZII EXTRACT,15
PHYTOSTEROLS,15
ORBIGNYA OLEIFERA (BABASSU) SEED OIL,15
HYDROLYZED GLYCOSAMINOGLYCANS,15
HYDROGENATED OLIVE OIL UNSAPONIFIABLES,15
1-METHYLHYDANTOIN-2-IMIDE,15
COCOS NUCIFERA (COCONUT) OIL,15
ETHYLPARABEN,15
EUGENOL,15
HYDROGENATED VEGETABLE GLYCERIDES CITRATE,14
SALICYLIC ACID,14
C13-15 ALKANE,14
TRIOLEIN,14
SORBITAN LAURATE,14
CAFFEINE,14
DIPEPTIDE DIAMINOBUTYROYL BENZYLAMIDE DIACETATE,14
PARFUM / FRAGRANCE,14
CYANOCOBALAMIN,14
MALTOSE,14
CERAMIDE NG,14
DIMETHICONOL,14
PHYTIC ACID,14
HYDROGENATED CASTOR OIL,14
RESVERATROL,14
N-PROLYL PALMITOYL TRIPEPTIDE-56 ACETATE,14
VEGETABLE OIL,14
HYDROGENATED ETHYLHEXYL OLIVATE,14
BETA-CAROTENE,13
OENOTHERA BIENNIS OIL,13
LINOLENIC ACID,13
MAGNESIUM ALUMINUM SILICATE,13
LAURETH-7,13
POLYACRYLAMIDE,13
SODIUM ACRYLATES COPOLYMER,13
ALGIN,13
3-O-ETHYL ASCORBIC ACID,13
ACETYL DIPEPTIDE-1 CETYL ESTER,13
ALUMINA,13
DECYLENE GLYCOL,13
WATER (WATER ),13
HYDROGENATED POLYISOBUTENE,13
SHEA BUTTER ETHYL ESTERS,13
CETYL PALMITATE,13
POLYGLYCERYL-3 DISTEARATE,13
MAGNESIUM CHLORIDE,12
LAMINARIA OCHROLEUCA EXTRACT,12
METHYLENE BIS-BENZOTRIAZOLYL TETRAMETHYLBUTYLPHENOL (NANO),12
PARAFFINUM LIQUIDUM,12
CI 42090,12
CELLULOSE GUM,12
CYCLOHEXASILOXANE,12
POLYGLUTAMIC ACID,12
SKŁADNIKI POCHODZENIA NATURALNEGO,12
CELLULOSE,12
MANGIFERA INDICA SEED BUTTER,12
PETROLATUM,12
GLUTATHIONE,12
SYNTHETIC FLUORPHLOGOPITE,12
CANOLA OIL,12
POLYGLYCERYL-3 STEARATE,12
HYDROLYZED COLLAGEN,11
PARFUM / FRAGRANCE (F,11
WATER (WATER,11
CI 15985,11
BUTYROSPERMUM PARKII (SHEA BUTTER),11
PARAFFINUM LIQUIDUM (MINERAL OIL),11
C13-14 ISOPARAFFIN,11
ISOSTEARYL ISOSTEARATE,11
UNDECANE,11
ASIATICOSIDE,11
PROLINE,11
HEXYLENE GLYCOL,11
GLYCERYL STEARATES,11
PROPYLPARABEN,11
HYDROGENATED OLIVE OIL DECYL ESTERS,11
BAKUCHIOL,11
PYRIDOXINE HCL,11
CERA ALBA,11
ALOE BARBADENSIS LEAF EXTRACT,11
HYDROLYZED CANDIDA SAITOANA EXTRACT,11
DISTARCH PHOSPHATE,11
C15-19 ALKANE,11
CI 19140,11
PVP,11
CHLORELLA VULGARIS EXTRACT,11
C12-20 ALKYL GLUCOSIDE,11
SODIUM SULFATE,11
CAPRYLHYDROXAMIC ACID,11
HYDROLYZED RICE PROTEIN,11
