unique_elements,count
ZEA MAYS OIL,4
CERESIN,4
MACROCYSTIS PYRIFERA (KELP) EXTRACT,4
MALPIGHIA PUNICIFOLIA FRUIT EXTRACT,4
OLIGOPEPTIDE-68,4
TRIPELARGONIN (C8-C12 ACID TRIGLYCERIDE),4
XANTHOPHYLLS,4
PEG-20 GLYCERYL LAURATE,4
ENTEROMORPHA COMPRESSA EXTRACT,4
VINYL DIMETHICONE,4
CETYL ETHYLHEXANOATE,4
ARGININE HCL,4
CI 14720,4
SODIUM BENZOTRIAZOLYL BUTYLPHENOL SULFONATE,4
MORINGA OLEIFERA SEED OIL,4
ACETYL TETRAPEPTIDE-15,4
GLYCINE SOJA (SOYBEAN) PHYTOPLACENTA EXTRACT,4
CANDIDA BOMBICOLA/GLUCOSE/METHYL RAPESEEDATE FERMENT,4
MALACHITE EXTRACT,4
CITRUS AURANTIUM PEEL OIL,4
CITRUS UNSHIU PEEL EXTRACT,4
ERYTHRITOL,4
ALOE BARBADENSIS FLOWER EXTRACT,4
METHYLSILANOL MANNURONATE,4
RIBOFLAVIN,4
POLYGLYCERYL-2 DIPOLYHYDROXYSTEARATE,4
MALTOSE HYDROGENATED LECITHIN,4
PLANTAGO LANCEOLATA SEED EXTRACT,4
SODIUM LAURETH SULFATE,4
7-DEHYDROCHOLESTEROL,4
HISTIDINE HCL,4
PASSIFLORA INCARNATA SEED OIL,4
BENZYL GLYCOL,4
THEOBROMA CACAO (COCOA) SEED EXTRACT,4
RASPBERRY KETONE,4
PHENYLBENZIMIDAZOLE SULFONIE ACID,4
RICINUS COMMUNIS SEED OIL,4
SORBITAN TRISTEARATE,4
LUPINUS ALBUS SEED EXTRACT,4
SILICA DIMETHYL SILYLATE,4
POLYGLYCERYL-10 STEARATE,4
P-ANISIC ACID,4
SODIUM CARBONATE,4
C12-22 ALKYL ACRYLATE/HYDROXYETHYLACRYLATE COPOLYMER,4
SCLEROCARYA BIRREA SEED OIL,4
CURCUMA LONGA ROOT EXTRACT,4
GLYCINE SOJA (SOYBEAN) SEED EXTRACT,4
MANGIFERA INDICA (MANGO) SEED BUTTER,4
CITRUS LIMON FRUIT EXTRACT,4
LONICERA CAPRIFOLIUM (HONEYSUCKLE) FLOWER EXTRACT,4
OSTREA SHELL EXTRACT,4
MARIS LIMUS EXTRACT,4
SH-OLIGOPEPTIDE-1,4
SUCROSE STEARATE,4
LONICERA CAPRIFOLIUM FLOWER EXTRACT,4
LONICERA JAPONICA FLOWER EXTRACT,4
CETETH-20,4
PEG-75 STEARATE,4
LONICERA JAPONICA (HONEYSUCKLE) FLOWER EXTRACT,4
RUBUS IDAEUS (RASPBERRY) SEED OIL,4
OZONIZED OLIVE OIL,4
PAEONIA LACTIFLORA ROOT EXTRACT,4
CETEARETH-25,4
HELICHRYSUM ITALICUM FLOWER/LEAF/STEM WATER,4
PRUNUS AMYGDALUS DULCIS SEED EXTRACT,4
PROPYLENE CARBONATE,3
GOSSYPIUM HERBACEUM SEED OIL,3
DIETHYLHEXYL BUTAMIDO TRIAZONE,3
STEARALKONIUM HECTORITE,3
JASMINUM OFFICINALE FLOWER EXTRACT,3
CITRUS LIMON FRUIT EXTRACT / LEMON FRUIT EXTRACT,3
KAOLIN,3
CUCUMIS SATIVUS (CUCUMBER) FRUIT EXTRACT,3
SHEA BUTTER,3
ARBUTIN,3
ARTEMIA EXTRACT,3
ARACHIS HYPOGAEA OIL,3
CI 77400,3
BERTHOLLETIA EXCELSA SEED OIL,3
LIMNANTHES ALBA SEED OIL / MEADOWFOAM SEED OIL,3
TRIS-BIPHENYL TRIAZINE (NANO),3
TRIBUTYL CITRATE,3
PHYTOSTERYL MACADAMIATE,3
BUTETH-3,3
MENTHA PIPERITA EXTRACT / PEPPERMINT EXTRACT,3
GYNOSTEMMA PENTAPHYLLUM LEAF/STEM EXTRACT,3
CISTUS INCANUS FLOWER/LEAF/STEM EXTRACT,3
ISOMALT,3
ARGANIA SPINOSA CALLUS CULTURE EXTRACT,3
ACACIA DECURRENS FLOWER WAX,3
GLYCINE SOJA PHYTOPLACENTA EXTRACT,3
HYDRATED SILICA,3
CASTANEA SATIVA (CHESTNUT ) SEED EXTRACT,3
PHELLODENDRON AMURENSE BARK EXTRACT,3
OLEA EUROPAEA (OLIVE ) FRUIT OIL,3
LEONTOPODIUM ALPINUM FLOWER/ LEAF EXTRACT,3
FROM NATURAL ESSENTIAL OILS,3
PUERARIA LOBATA ROOT EXTRACT,3
THIAMINE HCL,3
SODIUM TOCOPHERYL PHOSPHATE,3
LIMNANTHES ALBA SEED OIL,3
ZINC SULFATE,3
ORBIGNYA OLEIFERA (BABASSU ) SEED OIL,3
TEREPHTHALYLIDENE DICAMPHOR SULFONIC ACID,3
C20-22 ALKYL PHOSPHATE,3
HIBISCUS SABDARIFFA FLOWER EXTRACT,3
C20-22 ALCOHOLS,3
NELUMBO NUCIFERA FLOWER EXTRACT,3
TRITICUM VULGARE (WHEAT) GERM OIL,3
CI 19140 / YELLOW 5,3
TRIPEPTIDE-10 CITRULLINE,3
DISODIUM PHENYL DIBENZIMIDAZOLE TETRASULFONATE,3
CAPRYLIC/CAPRIC/MYRISTIC/STEARIC TRIGLYCERIDE,3
SODIUM SALICYLATE,3
ANTHYLLIS VULNERARIA EXTRACT,3
HYDROLYZED OPUNTIA FICUS-INDICA FLOWER EXTRACT,3
ISOBUTANE,3
HYDROXYETHYLPIPERAZINE ETHANE SULFONIC ACID,3
ALPHA- ISOMETHYL IONONE,3
COPPER LYSINATE/PROLINATE,3
CAPRYLOYL GLYCINE,3
OLEA EUROPEA (OLIVE) FRUIT OIL,3
LACTOBACILLUS/SOYBEAN FERMENT EXTRACT,3
ISOEUGENOL,3
CITRUS AURANTIUM DULCIS (ORANGE) FRUIT EXTRACT,3
VEGETABLE COLLAGEN,3
CICHORIUM INTYBUS LEAF EXTRACT,3
CANOLA (CANOLA) OIL,3
CI 14700 / RED 4,3
TRIETHOXYCAPRYLYLSILANE,3
RIBES NIGRUM SEED OIL,3
BETAIN,3
VITIS VINIFERA SEED EXTRACT,3
BUTYROSPERMUM PARKII (SHEA ) BUTTER,3
VITIS VINIFERA FRUIT WATER,3
PEG-30 DIPOLYHYDROXYSTEARATE,3
NEOHESPERIDIN DIHYDROCHALCONE,3
3-0-ETHYL ASCORBIC ACID,3
CITRUS AURANTIUM AMARA FLOWER WATER,3
CI 77499,3
MAGNESIUM ASPARTATE,3
ECLIPTA PROSTRATA EXTRACT,3
SALVIA SCLAREA EXTRACT,3
SODIUM POLYGLUTAMATE,3
JOJOBA ESTERS / HELIANTHUS ANNUUS SEED WAX / ACACIA DECURRENS FLOWER WAX / POLYGLYCERIN-3,3
RIBES NIGRUM (BLACK CURRANT) SEED OIL,3
SACCHAROMYCES/SILICON FERMENT,3
METHYLGLUCOSIDE PHOSPHATE,3
NEOPENTYL GLYCOL DIHEPTANOATE,3
SACCHAROMYCES/IRON FERMENT,3
SACCHAROMYCES/MAGNESIUM FERMENT,3
SACCHAROMYCES/COPPER FERMENT,3
SACCHAROMYCES/ZINC FERMENT,3
ACETIC ACID,3
ARNICA MONTANA FLOWER EXTRACT,3
ALUMINUM HYDROXIDE,3
OENOTHERA BIENNIS SEED OIL,3
BIXA ORELLANA SEED OIL,3
GLYCERINE,3
OLEIC ACID,3
ISOBUTYLAMIDO THIAZOLYL RESORCINOL,3
GLYCYRRHIZA INFLATA ROOT EXTRACT,3
STEARETH-21,3
LANOLIN ALCOHOL,3
MAGNESIUM STEARATE,3
HYDROXYPROPYL TETRAHYDROPYRANTRIOL,3
GLYCERETH-18 ETHYLHEXANOATE,3
PEG-40 HYDROGENATED CASTOR OIL,3
MAGNESIUM ASCORBYL PHOSPHATE,3
SANTALUM ALBUM OIL,3
EQUISETUM ARVENSE LEAF EXTRACT,3
ECHINACEA PURPUREA FLOWER/LEAF/STEM EXTRACT,3
CHELIDONIUM MAJUS EXTRACT,3
CENTAUREA CYANUS FLOWER EXTRACT,3
GARCINIA INDICA SEED BUTTER,3
HYPERICUM PERFORATUM FLOWER/LEAF/STEM EXTRACT,3
CAMELLIA SINENSIS (GREEN TEA) LEAF EXTRACT,3
CITRUS LIMON (LEMON) FRUIT WATER,3
ARCTIUM LAPPA ROOT EXTRACT,3
CARTHAMUS TINCTORIUS (SAFFLOWER) SEED OIL,3
ROSA CANINA FRUIT EXTRACT,3
PALMITOYL PENTAPEPTIDE-4,3
TRIPEPTIDE-1,3
OLEANOLIC ACID,3
ROSA MOSCHATA SEED OIL,3
PHYTOSTERYL/OCTYLDODECYL LAUROYL GLUTAMATE,3
PHOENIX DACTYLIFERA FRUIT EXTRACT,3
CITRUS GRANDIS SEED OIL,3
ADANSONIA DIGITATA SEED OIL,3
CI 77163,3
GLYCERETH-18,3
FRAGRANCE (PARFUM),3
DIGLYCERIN,3
HYDROGENATED POLY(C6-14 OLEFIN),3
DISTEARDIMONIUM HECTORITE,3
PERILLA OCYMOIDES SEED EXTRACT,3
TREMELLA FUCIFORMIS (MUSHROOM) EXTRACT,3
HIPPOPHAE RHAMNOIDES FRUIT OIL,3
ORYZA SATIVA (RICE) GERM OIL,3
CERAMIDE AS,3
000PPM),3
HONEY EXTRACT,3
HYDROLYZED GARDENIA FLORIDA EXTRACT,3
CALCIUM HYDROXYMETHIONINE,3
3-AMINOPROPANE SULFONIC ACID,3
THEOBROMA CACAO (COCOA) EXTRACT,3
TUSSILAGO FARFARA FLOWER/LEAF EXTRACT,3
CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT,3
PLANTAGO LANCEOLATA LEAF EXTRACT,3
ATELOCOLLAGEN,3
COENOCHLORIS SIGNIENSIS EXTRACT,3
CL 19140,3
CERAMIDE 3,3
POLYSILICONE-15,3
SULFUR,3
MARIS WATER,3
MEL EXTRACT,3
SKŁADNIKI NATURALNE I POCHODZENIA NATURALNEGO,3
BUDDLEJA DAVIDII MERISTEM CELL CULTURE,3
TULIPA GESNERIANA FLOWER EXTRACT,3
MALPIGHIA GLABRA FRUIT EXTRACT,3
PHENYLPROPANOL,3
HEXYLDECANOL,3
LAURYL ALCOHOL DIPHOSPHONIC ACID,3
NARCISSUS POETICUS CALLUS EXTRACT,3
SODIUM CHONDROITIN SULFATE,3
PEG-20 STEARATE,3
ANIBA ROSAEODORA (ROSEWOOD) OIL,3
PISTACIA VERA SEED OIL,3
TRIFOLIUM PRATENSE (RED CLOVER) EXTRACT,3
CARYODENDRON ORINOCENSE SEED OIL,3
EUPHORBIA CERIFERA CERA,3
HYDROLYZED SPONGE EXTRACT,3
COLLOIDAL PLATINUM,3
PENTAPEPTIDE-48,3
CITRUS LIMON SEED OIL,3
PELARGONIUM GRAVEOLENS FLOWER/LEAF/STEM WATER,3
MENTHOL,3
TUBER AESTIVUM EXTRACT,3
POTASSIUM HYALURONATE,3
SOY ISOFLAVONES,3
DAUCUS CAROTA SATIVA (CARROT) ROOT EXTRACT,3
POTASSIUM HYDROXIDE,3
ROSA CENTIFOLIA FLOWER EXTRACT,3
POTENCJALNE ALERGENY,3
PINUS SYLVESTRIS LEAF OIL,3
STEVIA REBAUDIANA LEAF/STEM EXTRACT,3
LINUM USITATISSIMUM SEED OIL,3
VITIS VINIFERA FRUIT EXTRACT,2
HELIANTHUS ANNUUS HYBRID OIL,2
BETAGLUCAN,2
GLYCINE SOJA STEROLS,2
BETULA PLATYPHYLLA JAPONICA JUICE,2
BETULA ALBA LEAF EXTRACT,2
TETRAHYDROXYPROPYL ETHYLENEDIAMINE,2
SORBITYL LAURATE,2
CAPRYLIC/CAPRICTRIGLYCERIDE,2
POLYGLYCERYL-3 RICE BRANATE,2
SACCHAROMYCES/BARLEY SEED FERMENT FILTRATE,2
PORTULACA OLERACEA EXTRACT,2
CI77820,2
BENTONITE,2
AMINOBUTYRIC ACID,2
COCO-CAPRYLATE/ CAPRATE,2
BEESWAX (CERA ALBA),2
ULMUS DAVIDIANA ROOT EXTRACT,2
OENOTHERA BIENNIS (EVENING PRIMROSE) FLOWER EXTRACT,2
PRUNUS PERSICA (PEACH) KERNEL OIL,2
SCUTELLARIA BAICALENSIS ROOT EXTRACT,2
HYDROLYZED VEGETABLE PROTEIN,2
SODIUM,2
ISODONIS JAPONICUS LEAF / STALK EXTRACT,2
PLANKTON EXTRACT,2
SPIRULINA PLATENSIS EXTRACT,2
GOSSYPIUM HERBACEUM (COTTON) SEED OIL,2
ARGANIA SPINOSA (ARGAN) KERNEL OIL,2
NONAPEPTIDE-1,2
HYDROLYZED MANIHOT ESCULENTA TUBER EXTRACT,2
HIBISCUS ROSA-SINENSIS FLOWER EXTRACT,2
GOSSYPIUM HERBACEUM (COTTON) CALLUS CULTURE/PUNICA GRANATUM CALLUS CULTURE) LYSATE,2
MALPIGHIA GLABRA (ACEROLA) FRUIT EXTRACT,2
GLYCOPROTEINS,2
SORGHUM BICOLOR STALK JUICE,2
SODIUM POLYSTYRENE SULFONATE,2
DI-C12-13 ALKYL MALATE,2
BERTHOLLETIA EXCELS SEED OIL,2
SQUALANĘ,2
NIACYNAMIDE,2
RUBUS IDAEUS (RASPBERRY) FRUIT EXTRACT,2
LUFFA CYLINDRICA SEED OIL,2
TUBER MELANOSPORUM EXTRACT,2
SPHINGOLIPIDS,2
PALMITOYL OLIGOPEPTIDE,2
MALUS DOMESTICA FRUIT CELL CULTURE EXTRACT,2
ALEURITES MOLUCCANA SEED OIL,2
HYDROLYZED WHEAT PROTEIN/PVP CROSSPOLYMER,2
CALCIUM ASCORBATE,2
AESCULUS HIPPOCASTANUM (HORSE CHESTNUT) SEED EXTRACT,2
ETHYLHEXYL-GLYCERIN,2
POLYESTER-7,2
AMARANTHUS CAUDATUS SEED OIL,2
CAFFEIC ACID,2
PROTOCATECHIC ACID,2
LACTOBACILLUS/CENTELLA ASIATICA EXTRACT FERMENT,2
LINUM USITATISSIMUM SEED EXTRACT,2
TRIPEPTIDE-29,2
ACRYLATES/ C10-30 ALKYL ACRYLATE CROSSPOLYMER,2
AVENA SATIVA (OAT) BRAN EXTRACT,2
CETYL PHOSPHATE,2
HOUTTUYNIA CORDATA EXTRACT,2
CITRUS AURANTIUM DULCIS (ORANGE) FLOWER WATER,2
TREMELLA FUCIFORMIS EXTRACT,2
CYPERUS ESCULENTUS TUBER EXTRACT,2
OPUNTIA FICUS-INDICA SEED OIL,2
PYRUS MALUS FRUIT EXTRACT,2
REUTERIN,2
GALLIC ACID,2
THYMUS VULGARIS FLOWER/LEAF EXTRACT,2
CITRUS LIMON (LEMON) PEEL OIL,2
ACETYL OCTAPEPTIDE-3,2
DISODIUM ACETYL GLUCOSAMINE PHOSPHATE,2
MOONSTONE EXTRACT,2
AMETHYST EXTRACT,2
ANEMARRHENA ASPHODELOIDES ROOT EXTRACT,2
FRAGRANCE,2
PEG-30 CASTOR OIL,2
NYMPHAEA ALBA FLOWER EXTRACT,2
CITRUS AURANTIUM DULCIS FRUIT EXTRACT,2
POLYGLYCERYL-2-DIPOLYHYDROXYSTEARATE,2
QUARTZ,2
SODIUM PALMITOYL PROLINE,2
AMMONIUM ACRYLATES COPOLYMER,2
HYDROLYZED YEAST PROTEIN,2
EKSTRAKT Z CZERWONYCH ALG POPRAWIA JEDNOLITOŚĆ SKÓRY I PRZYWRACA JEJ BLASK,2
POLYGLUCURONIC ACID,2
LYCIUM BARBARUM FRUIT EXTRACT,2
TRIMETHYLOLPROPANE TRIISOSTEARATE,2
CITRUS LIMON PEEL OIL,2
CENTELLA ASIATICA LEAF WATER,2
UNDARIA PINNATIFIDA CELL CULTURE EXTRACT,2
BUDDLEJA OFFICINALIS FLOWER EXTRACT,2
CI 15510 / ORANGE 4,2
ZAWIERA ALERGENY,2
ANTHEMIS NOBILIS FLOWER OIL,2
TETRAHEXYLDECYL ASCORBATE,2
POLYGLYCERYL-3 OLEATE,2
ACRYLATES/BEHENETH-25 METHACRYLATE COPOLYMER,2
ACRYLONITRILE/METHYL METHACRYLATE/VINYLIDENE CHLORIDE COPOLYMER,2
ACETYL TRIFLUOROMETHYLPHENYL VALYLGLYCINE,2
GLYCINE SOJA PROTEIN / SOYBEAN PROTEIN,2
CERA ALBA / BEESWAX,2
CI 19140/YELLOW 5,2
1),2
CI 42090 (FD&C BLUE NO,2
CI 77007 (ULTRAMARINES),2
ISOAMYL P-METHOXYCINNAMATE,2
MARIS WATER (SEA WATER),2
TRILAURIN,2
DIACETYL BOLDINE,2
BELLIS PERENNIS FLOWER EXTRACT,2
OCTENIDINE HCL,2
40),2
CI 16035 (FD&C RED NO,2
5),2
CI 19140 (FD&C YELLOW NO,2
HYDROLYZED PLUKENETIA VOLUBILIS SEED EXTRACT,2
GOSSYPIUM HERBACEUM (COTTON) SEED EXTRACT,2
HELIANTHUS ANNUUS (SUNFLOWER ) SEED OIL,2
GLYCERYL OLEATE,2
ETHYL HEXANEDIOL,2
ELAEIS GUINEENSIS (PALM) OIL,2
CI 75810,2
MELATONIN,2
AMYLOPECTIN,2
CASSIA OBTUSIFOLIA SEED EXTRACT,2
HETEROTHECA INULOIDES FLOWER EXTRACT,2
ACRYLATES/C12-22 ALKYL METHACRYLATE COPOLYMER,2
ACETYL TETRAPEPTIDE-17,2
CANDELILLA/JOJOBA/RICE BRAN POLYGLYCERYL-3 ESTERS,2
RAFFINOSE,2
PROPOLIS EXTRACT,2
MAGNOLIA BIONDII BUD/FLOWER EXTRACT,2
CI 14700,2
TAMARINDUS INDICA FRUIT EXTRACT,2
HAEMATOCOCCUS PLUVIALIS EXTRACT,2
BRASSICA CAMPESTRIS STEROLS,2
ROYAL JELLY EXTRACT,2
GLYCERYL POLYMETHACRYLATE,2
BIFIDA FERMENT LYSATE,2
CAMELINA SATIVA SEED OIL,2
BRASSICA CAMPESTRIS (RAPESEED) SEED OIL,2
AMMONIUM POLYACRYLDIMETHYLTAURAMIDE / AMMONIUM POLYACRYLOYLDIMETHYL TAURATE,2
GLYCERYL ISOSTEARATE,2
CARRAGEENAN,2
SANTALUM ALBUM (SANDALWOOD) OIL,2
DIMETHICONE/ VINYL DIMETHICONE CROSSPOLYMER,2
PRUNUS AMYGDALUS DULCIS OLI,2
BOERHAVIA DIFFUSA ROOT EXTRACT,2
HELIANTHUS ANNUS SEED OIL,2
VITIS VINIFERA OIL,2
ANANAS SATIVUS FRUIT EXTRACT,2
RHEUM RHAPONTICUM ROOT EXTRACT,2
S-MU-CONOTOXIN CNIIIC ACETATE,2
SARCOSINE,2
PALMITOYL TRIPEPTIDE-28,2
RHODODENDRON FERRUGINEUM EXTRACT,2
PHENETYL ALCOHOL,2
BULBINE FRUTESCENS LEAF JUICE,2
ORYZA SATIVA POWDER,2
LAMINARIA DIGITATA EXTRACT,2
PENTHYLENE GLYCOL,2
SODIUM GLUCONATE,2
CI 77891 / TITANIUM DIOXIDE,2
ALOE BARBADENSIS LEAF WATER,2
MACROCYSTIS PYRIFERA EXTRACT,2
SYNTHETIC SAPPHIRE,2
PISUM SATIVUM (PEA) PEPTIDE,2
PEG- 30 DIPOLYHYDROXYSTEARATE,2
CAMELLIA SINENSIS SEED OIL,2
LINALYL ACETATE,2
BIS-DIGLYCERYL POLYACYLADIPATE-2,2
CITRUS JUNOS FRUIT EXTRACT,2
HYDROLYZED MYRTUS COMMUNIS LEAF EXTRACT,2
PYRUS CYDONIA SEED EXTRACT,2
ALPHA–ISOMETHYL IONONE,2
"PARFUM""",2
ROSA RUBIGINOSA SEED OIL,2
DIPOTASSIUM PHOSPHATE,2
LANOLIN ALCOHOL (EUCERIT®),2
GLYCINE SOJA GERM EXTRACT,2
HYDROGENATED COCO–GLYCERIDES,2
PUNICA GRANATUM FRUIT EXTRACT,2
GLYCERYL CITRATE/LACTATE/LINOLEATE/OLEATE,2
ALOE BARBADENSIS EXTRACT,2
CURCUMA LONGA RHIZOME EXTRACT,2
POLYGLYCERYL-2 OLEATE,2
COCO CAPRYLATE/CAPRATE,2
WITHANIA SOMNIFERA ROOT EXTRACT,2
CROCUS SATIVUS FLOWER EXTRACT,2
BUTYROSPERMUM PARKI BUTTER,2
EQUISETUM ARVENSE EXTRACT,2
PLANT GLYCERIN,2
VANILLIN,2
TEPHROSIA PURPUREA SEED EXTRACT,2
HYDROGENATED PALM GLYCERIDES CITRATE,2
MANGANESE PCA,2
HYDROLYZED EXTENSIN,2
DICOCOYL PENTAERYTHRITYL DISTEARYL CITRATE,2
PROPANEDIOL DICAPRYLATE,2
PINUS PALUSTRIS LEAF EXTRACT,2
POLYGLYCERYL-4 ISOSTEARATE,2
LAURYL LAURATE,2
AMMONIUM ACRYLOYLDIMETHYLTAURATE/ VP COPOLYMER,2
891PPM),2
CENTELLA ASIATICA EXTRACT (29,2
TITANIUM DIOXIDE [NANO] / TITANIUM DIOXIDE,2
PARFUM(FRAGRANCE),2
DIHYDROXYACETONE,2
GELLAN GUM,2
C12-16 ALCOHOLS,2
PEG-40 STEARATE,2
SODIUM CARBOXYMETHYL BETA-GLUCAN,2
AGAR,2
CAPRYLYL/CAPRYL GLUCOSIDE,2
HEPTYL UNDECYLENATE,2
PARFUM/ FRAGRANCE (F,2
ENANTIA CHLORANTHA BARK EXTRACT,2
SPANISH LICORICE EXTRACT,2
SOYBEAN SPROUT EXTRACT,2
MADECCAIC ACID,2
ORANGE ROUGHY OIL,2
LAVENDER OIL,2
8%),2
CENTELLA ASIATICA EXTRACT (9,2
PURIFIED WATER,2
HYDROXYETHYL UREA,2
CUCUMIS SATIVUS FRUIT EXTRACT,2
WATER/EAU,2
BETA GLUCAN,2
COPTIS CHINENSIS ROOT EXTRACT,2
ZINGIBER OFFICINALE (GINGER) ROOT EXTRACT,2
MENTHA PIPERITA (PEPPERMINT) LEAF EXTRACT,2
C12-14 PARETH-12,2
CYCLOMETHICONE,2
LITHOSPERMUM ERYTHRORHIZON ROOT EXTRACT,2
VIGNA ACONITIFOLIA SEED EXTRACT,2
BUTYLOCTYL SALICYLATE,2
VINYL DIMETHICONE/METHICONE SILSESQUIOXANE CROSSPOLYMER,2
OLIVE OIL DECYL ESTERS,2
CYCNOCHES COOPERI FLOWER/LEAF EXTRACT,2
POLYGLYCERYL-6 PALMITATE/SUCCINATE,2
DIMETHYLIMIDAZOLIDINONE RICE STARCH,2
COCAMIDOPROPYL BETAINE,2
GOSSYPIUM HERBACEUM FLOWER EXTRACT,2
TITANIUM DIOXIDE [NANO]/TITANIUM DIOXIDE,2
SODIUM STEARATE,2
IMIDAZOLIDINYL UREA,2
POLYETHYLENE,2
POLYGLYCERYL-3 STEARATE/SEBACATE CROSSPOLYMER,2
ALPINIA GALANGA EXTRACT,2
SILICA DIMETHYL SILYLATE [NANO] / SILICA DIMETHYL SILYLATE,2
MENYANTHES TRIFOLIATA LEAF EXTRACT,2
LAVANDULA STOECHAS EXTRACT,2
ACACIA DECURRENS FLOWER CERA / ACACIA DECURRENS FLOWER WAX,2
ARGANIA SPINOSA KERNEL EXTRACT,2
ISOSTEARYL LACTATE,2
PARFUM (KOMPOZYCJA ZAPACHOWA BEZ ALERGENÓW),2
TOCOPHEROL (WITAMINA E),2
PEAT EXTRACT (TORF TOŁPA®),2
COCO-CAPRYLATE (EMOLIENT POCHODZENIA ROŚLINNEGO),2
CAPRYLIC/CAPRIC TRIGLYCERIDE (EMOLIENT POCHODZENIA ROŚLINNEGO),2
GLYCERIN (GLICERYNA POCHODZENIA ROŚLINNEGO),2
WATER (WODA OCZYSZCZONA),2
MICA (PIGMENT POCHODZENIA MINERALNEGO),2
INONOTUS OBLIQUUS (MUSHROOM) EXTRACT,2
PRUNUS DOMESTICA SEED OIL,2
STEARETH-2,2
ASPERGILLUS FERMENT,2
HIPPOPHAE RHAMNOIDES KERNEL EXTRACT,2
BIOSACCHARIDE GUM-4,2
PINUS SYLVESTRIS (PINE) BUD EXTRACT,2
METHYLENE BIS-BENZOTRIAZOLYL TETRAMETHYLBUTYLPHENOL(NANO),2
TILIA PLATYPHYLLOS FLOWER EXTRACT,2
PERSEA GRATISSIMA BUTTER,2
ETHYLHEXYL PELARGONIATE,2
VITIS VINIFERA SEED OLI,2
VIOLET 2,2
CI 60730 / EXT,2
STEARIC AC ID,2
CICHORIUM INTYBUS ROOT EXTRACT,2
MELALEUCA ALTERNIFOLIA LEAF OIL,2
PEG-10 DIMETHICONE,2
ENGELHARDTIA CHRYSOLEPIS LEAF EXTRACT,2
ALKYL BENZOATE,2
MUSA SAPIENTIUM EXTRACT,2
DIMETHICONE/POLYGLYCERIN-3 CROSSPOLYMER,2
DIMETHICONE/PEG-10/15 CROSSPOLYMER,2
PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) SEED EXTRACT,2
CAULERPA LENTILLIFERA EXTRACT,2
DIMETHYLMETHOXY CHROMANYL PALMITATE,2
ROYAL JELLY,2
EKSTRAKT Z LIŚCI DRZEWA MANUKA,2
GOAT MILK EXTRACT,2
HELICHRYSUM STOECHAS FLOWER EXTRACT,2
MARRUBIUM VULGARE EXTRACT,2
BACOPA MONNIERI EXTRACT,2
HIMANTHALIA ELONGATA EXTRACT,2
SORBITAN CAPRYLATE,2
TRIFLUOROACETYL TRIPEPTIDE-2,2
SH-POLYPEPTIDE-121,2
APHANIZOMENON FLOS WATERE EXTRACT,2
CROCUS SATIVUS STIGMA EXTRACT,2
HEXAPEPTIDE-9,2
HYDROLYZED YEAST EXTRACT,2
HEXYLDECYL LAURATE,2
HORDEUM VULGARE LEAF JUICE,2
OPUNTIA FICUS-INDICA STEM EXTRACT,2
CETEARETH-6,2
CENTELLA ASIATICA (GOTU KOLA) EXTRACT(72%),2
GLYCERYL CAPRATE,1
ZINC STEARATE,1
TRITICUM VULGARE (WHEAT) BRAN EXTRACT,1
ROSA DAMASCENA FLOWER WAX,1
VEGETABLE OIL (OLUS OIL),1
HYPERICUM PERFORATUM FLOWER/LEAF EXTRACT,1
ARACHIS HYPOGAEA (PEANUT) OIL,1
POLYGLYCERYL-6-PENTAOLEATE,1
ETEARYL ALCOHOL,1
C,1
PUNICA GRANATUM FLOWER EXTRACT,1
VANILIA PLANIFOLIA FRUIT EXTRACT,1
W KTÓRYM 30 OSÓB ZASTOSOWAŁO PRODUKT JEDNOKROTNIE,1
Z KONTROLOWANYCH UPRAW EKOLOGICZNYCH  Z NATURALNYCH OLEJKÓW ETERYCZNYCH SKUTECZNOŚĆ POTWIERDZONA W TEŚCIE IN VIVO,1
JUICE POWDER,1
ALOE BARBADENSIS LEAF,1
PALMITYNIAN ISOPROPYLU BERGACARE EM-16,1
GLYCERYL STEARATE CITRATE HELIANTHUS ANNUUS SEED OIL,1
THEOBROMINE,1
GARDENIA JASMINOIDES MARISTEM CELL CULTURE,1
TIRETHANOLAMINE,1
ETHYLHEXYL METHOXYCINAMATE,1
SACCHAROMYCES/XYLINUM/ BLACK TEA FERMENT,1
PLUKENETIA VOLUBILISSEED OIL,1
MALTOLIGOOSYL GLUCOSIDE,1
MACADMIA TERNIFOLIA SEED OIL,1
HYDROGENATED PALM KERNEL GLYCERIDES,1
PROPYLPARABEN DMDM HYDANTOIN,1
POLYGLYCERYL-6 PENTAOLEATE,1
LAURYL POLYGLYCERYL-3 POLYDIMETHYLSILOXYETHYL DIMETHICONE,1
POLYGLYCERYL-3 POLYDIMETHYLSILOXYETHYL DIMETHICONE,1
MYRCIARIA DUBIA FRUIT EXTRACT,1
HYDROLYZED RHODOPHYCEAE EXTRACT,1
MALUS DOMESTICA FRUIT CELI CULTURE EXTRACT,1
TRICALCIUM PHOSPHATE,1
VACCINIUM MACROCARPON FRUIT POWDER,1
PFG-100 STEARATE,1
BIS-ETHYIHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE,1
03-14 ISOPARAFFIN,1
ALBIZIA JULIBRISSIN BARK EXTRACT,1
